rel_id,start_id,end_id,start_label,end_label,relationship_type,signal_type,signal_strength,impact_direction,time_sensitivity_level,impacted_scope,evidence_type,evidence_date,last_reviewed,confidence_score,confidence_band,clock_type
AFF_SIG_O_H_1,SIG_O_H_1,CL_O_H,StrategicSignal,Cluster,AFFECTS,DEMAND,S,UNCERTAIN,MEDIUM,氢;电解槽;绿氢;钢铁/化工/重卡,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_H_2,SIG_O_H_2,CL_O_H,StrategicSignal,Cluster,AFFECTS,TECH,S,UNCERTAIN,MEDIUM,氢;电解槽;绿氢;钢铁/化工/重卡,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.65,MEDIUM,
AFF_SIG_O_H_3,SIG_O_H_3,CL_O_H,StrategicSignal,Cluster,AFFECTS,REG,S,POSITIVE,HIGH,氢;电解槽;绿氢;钢铁/化工/重卡,MULTI_SOURCE,2026-01-14,2026-03-16,0.96,HIGH,
AFF_SIG_O_H_4,SIG_O_H_4,CL_O_H,StrategicSignal,Cluster,AFFECTS,GEO,M,POSITIVE,HIGH,氢;电解槽;绿氢;钢铁/化工/重卡,GOV_REPORT,2024-01-01,2026-03-16,0.84,MEDIUM_HIGH,
AFF_SIG_O_Ti_Zr_Hf_1,SIG_O_Ti_Zr_Hf_1,CL_O_Ti_Zr_Hf,StrategicSignal,Cluster,AFFECTS,GEO,S,MIXED,HIGH,Ti/Zr/Hf;航空材料;核电包壳;先进制程介质,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Ti_Zr_Hf_2,SIG_O_Ti_Zr_Hf_2,CL_O_Ti_Zr_Hf,StrategicSignal,Cluster,AFFECTS,DEMAND,S,POSITIVE,MEDIUM,Ti/Zr/Hf;航空材料;核电包壳;先进制程介质,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Ti_Zr_Hf_3,SIG_O_Ti_Zr_Hf_3,CL_O_Ti_Zr_Hf,StrategicSignal,Cluster,AFFECTS,TECH,M,UNCERTAIN,MEDIUM,Ti/Zr/Hf;航空材料;核电包壳;先进制程介质,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Ti_Zr_Hf_4,SIG_O_Ti_Zr_Hf_4,CL_O_Ti_Zr_Hf,StrategicSignal,Cluster,AFFECTS,DEMAND,M,POSITIVE,MEDIUM,Ti/Zr/Hf;航空材料;核电包壳;先进制程介质,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Cr_Mo_W_V_Nb_Ta_1,SIG_O_Cr_Mo_W_V_Nb_Ta_1,CL_O_Cr_Mo_W_V_Nb_Ta,StrategicSignal,Cluster,AFFECTS,GEO,S,NEGATIVE,HIGH,W/Mo/V/Nb/Ta;硬质合金;液流电池;电子电容,GOV_REPORT,2025-03-19,2026-03-16,0.93,HIGH,
AFF_SIG_O_Cr_Mo_W_V_Nb_Ta_2,SIG_O_Cr_Mo_W_V_Nb_Ta_2,CL_O_Cr_Mo_W_V_Nb_Ta,StrategicSignal,Cluster,AFFECTS,DEMAND,S,POSITIVE,MEDIUM,W/Mo/V/Nb/Ta;硬质合金;液流电池;电子电容,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Cr_Mo_W_V_Nb_Ta_3,SIG_O_Cr_Mo_W_V_Nb_Ta_3,CL_O_Cr_Mo_W_V_Nb_Ta,StrategicSignal,Cluster,AFFECTS,DEMAND,M,POSITIVE,MEDIUM,W/Mo/V/Nb/Ta;硬质合金;液流电池;电子电容,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Cr_Mo_W_V_Nb_Ta_4,SIG_O_Cr_Mo_W_V_Nb_Ta_4,CL_O_Cr_Mo_W_V_Nb_Ta,StrategicSignal,Cluster,AFFECTS,REG,M,MIXED,HIGH,W/Mo/V/Nb/Ta;硬质合金;液流电池;电子电容,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_PGM_1,SIG_O_PGM_1,CL_O_PGM,StrategicSignal,Cluster,AFFECTS,DEMAND,S,UNCERTAIN,MEDIUM,Pt/Pd/Rh/Ir;电解槽;燃料电池;汽车催化,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_PGM_2,SIG_O_PGM_2,CL_O_PGM,StrategicSignal,Cluster,AFFECTS,GEO,S,NEGATIVE,HIGH,Pt/Pd/Rh/Ir;电解槽;燃料电池;汽车催化,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_PGM_3,SIG_O_PGM_3,CL_O_PGM,StrategicSignal,Cluster,AFFECTS,TECH,M,UNCERTAIN,MEDIUM,Pt/Pd/Rh/Ir;电解槽;燃料电池;汽车催化,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_PGM_4,SIG_O_PGM_4,CL_O_PGM,StrategicSignal,Cluster,AFFECTS,DEMAND,M,UNCERTAIN,MEDIUM,Pt/Pd/Rh/Ir;电解槽;燃料电池;汽车催化,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Ag_Au_1,SIG_O_Ag_Au_1,CL_O_Ag_Au,StrategicSignal,Cluster,AFFECTS,DEMAND,S,UNCERTAIN,MEDIUM,Ag/Au;光伏银浆;高可靠电子,GOV_REPORT,2025-03-19,2026-03-16,0.93,HIGH,
AFF_SIG_O_Ag_Au_2,SIG_O_Ag_Au_2,CL_O_Ag_Au,StrategicSignal,Cluster,AFFECTS,TECH,S,UNCERTAIN,MEDIUM,Ag/Au;光伏银浆;高可靠电子,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.65,MEDIUM,
AFF_SIG_O_Ag_Au_3,SIG_O_Ag_Au_3,CL_O_Ag_Au,StrategicSignal,Cluster,AFFECTS,DEMAND,M,POSITIVE,MEDIUM,Ag/Au;光伏银浆;高可靠电子,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_P_F_1,SIG_O_P_F_1,CL_O_P_F,StrategicSignal,Cluster,AFFECTS,GEO,S,NEGATIVE,HIGH,P/F;LFP/PVDF/HF;电池与含氟化工,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.65,MEDIUM,
AFF_SIG_O_P_F_2,SIG_O_P_F_2,CL_O_P_F,StrategicSignal,Cluster,AFFECTS,REG,S,NEGATIVE,HIGH,P/F;LFP/PVDF/HF;电池与含氟化工,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.65,MEDIUM,
AFF_SIG_O_P_F_3,SIG_O_P_F_3,CL_O_P_F,StrategicSignal,Cluster,AFFECTS,DEMAND,S,POSITIVE,MEDIUM,P/F;LFP/PVDF/HF;电池与含氟化工,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_P_F_4,SIG_O_P_F_4,CL_O_P_F,StrategicSignal,Cluster,AFFECTS,TECH,M,UNCERTAIN,MEDIUM,P/F;LFP/PVDF/HF;电池与含氟化工,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.65,MEDIUM,
AFF_SIG_O_Zn_Sn_Pb_1,SIG_O_Zn_Sn_Pb_1,CL_O_Zn_Sn_Pb,StrategicSignal,Cluster,AFFECTS,DEMAND,M,POSITIVE,MEDIUM,Zn/Sn/Pb;镀锌;焊料;铅酸电池,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Zn_Sn_Pb_2,SIG_O_Zn_Sn_Pb_2,CL_O_Zn_Sn_Pb,StrategicSignal,Cluster,AFFECTS,GEO,M,NEGATIVE,HIGH,Zn/Sn/Pb;镀锌;焊料;铅酸电池,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Zn_Sn_Pb_3,SIG_O_Zn_Sn_Pb_3,CL_O_Zn_Sn_Pb,StrategicSignal,Cluster,AFFECTS,REG,S,NEGATIVE,HIGH,Zn/Sn/Pb;镀锌;焊料;铅酸电池,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Zn_Sn_Pb_4,SIG_O_Zn_Sn_Pb_4,CL_O_Zn_Sn_Pb,StrategicSignal,Cluster,AFFECTS,TECH,M,UNCERTAIN,MEDIUM,Zn/Sn/Pb;镀锌;焊料;铅酸电池,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Mg_Ca_1,SIG_O_Mg_Ca_1,CL_O_Mg_Ca,StrategicSignal,Cluster,AFFECTS,GEO,S,NEGATIVE,HIGH,Mg/Ca;镁合金;汽车轻量化,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Mg_Ca_2,SIG_O_Mg_Ca_2,CL_O_Mg_Ca,StrategicSignal,Cluster,AFFECTS,DEMAND,M,POSITIVE,MEDIUM,Mg/Ca;镁合金;汽车轻量化,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Mg_Ca_3,SIG_O_Mg_Ca_3,CL_O_Mg_Ca,StrategicSignal,Cluster,AFFECTS,REG,M,MIXED,HIGH,Mg/Ca;镁合金;汽车轻量化,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_O_N_1,SIG_O_O_N_1,CL_O_O_N,StrategicSignal,Cluster,AFFECTS,DEMAND,M,POSITIVE,MEDIUM,氧/氮;工业气体;化工基础,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_O_N_2,SIG_O_O_N_2,CL_O_O_N,StrategicSignal,Cluster,AFFECTS,DEMAND,M,POSITIVE,MEDIUM,氧/氮;工业气体;化工基础,GOV_REPORT,2024-06-25,2026-03-16,0.9,HIGH,
AFF_SIG_G_C01_H_GEO,SIG_G_C01_H_GEO,CL_G_C01_H,StrategicSignal,Cluster,AFFECTS,GEO,,NEGATIVE,HIGH,CL_G_C01_H,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C01_H_DEMAND,SIG_G_C01_H_DEMAND,CL_G_C01_H,StrategicSignal,Cluster,AFFECTS,DEMAND,,UNCERTAIN,MEDIUM,CL_G_C01_H,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C01_H_TECH,SIG_G_C01_H_TECH,CL_G_C01_H,StrategicSignal,Cluster,AFFECTS,TECH,,UNCERTAIN,MEDIUM,CL_G_C01_H,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.65,MEDIUM,
AFF_SIG_G_C01_H_REG,SIG_G_C01_H_REG,CL_G_C01_H,StrategicSignal,Cluster,AFFECTS,REG,,POSITIVE,HIGH,CL_G_C01_H,MULTI_SOURCE,2026-01-14,2026-03-16,0.96,HIGH,
AFF_SIG_G_C02_C_GEO,SIG_G_C02_C_GEO,CL_G_C02_C,StrategicSignal,Cluster,AFFECTS,GEO,,MIXED,HIGH,CL_G_C02_C,GOV_REPORT,2023-10-20,2026-03-16,0.86,MEDIUM_HIGH,
AFF_SIG_G_C02_C_DEMAND,SIG_G_C02_C_DEMAND,CL_G_C02_C,StrategicSignal,Cluster,AFFECTS,DEMAND,,POSITIVE,MEDIUM,CL_G_C02_C,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C02_C_TECH,SIG_G_C02_C_TECH,CL_G_C02_C,StrategicSignal,Cluster,AFFECTS,TECH,,UNCERTAIN,MEDIUM,CL_G_C02_C,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C02_C_REG,SIG_G_C02_C_REG,CL_G_C02_C,StrategicSignal,Cluster,AFFECTS,REG,,NEGATIVE,HIGH,CL_G_C02_C,GOV_REPORT,2023-10-20,2026-03-16,0.86,MEDIUM_HIGH,
AFF_SIG_G_C03_NO_GEO,SIG_G_C03_NO_GEO,CL_G_C03_NO,StrategicSignal,Cluster,AFFECTS,GEO,,NEGATIVE,HIGH,CL_G_C03_NO,GOV_REPORT,2024-06-25,2026-03-16,0.9,HIGH,
AFF_SIG_G_C03_NO_DEMAND,SIG_G_C03_NO_DEMAND,CL_G_C03_NO,StrategicSignal,Cluster,AFFECTS,DEMAND,,UNCERTAIN,MEDIUM,CL_G_C03_NO,GOV_REPORT,2024-06-25,2026-03-16,0.9,HIGH,
AFF_SIG_G_C03_NO_TECH,SIG_G_C03_NO_TECH,CL_G_C03_NO,StrategicSignal,Cluster,AFFECTS,TECH,,UNCERTAIN,MEDIUM,CL_G_C03_NO,GOV_REPORT,2024-06-25,2026-03-16,0.9,HIGH,
AFF_SIG_G_C03_NO_REG,SIG_G_C03_NO_REG,CL_G_C03_NO,StrategicSignal,Cluster,AFFECTS,REG,,NEGATIVE,HIGH,CL_G_C03_NO,MULTI_SOURCE,2024-06-25,2026-03-16,0.92,HIGH,
AFF_SIG_G_C04_AL_GEO,SIG_G_C04_AL_GEO,CL_G_C04_AL,StrategicSignal,Cluster,AFFECTS,GEO,,MIXED,HIGH,CL_G_C04_AL,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C04_AL_DEMAND,SIG_G_C04_AL_DEMAND,CL_G_C04_AL,StrategicSignal,Cluster,AFFECTS,DEMAND,,UNCERTAIN,MEDIUM,CL_G_C04_AL,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C04_AL_TECH,SIG_G_C04_AL_TECH,CL_G_C04_AL,StrategicSignal,Cluster,AFFECTS,TECH,,UNCERTAIN,MEDIUM,CL_G_C04_AL,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C04_AL_REG,SIG_G_C04_AL_REG,CL_G_C04_AL,StrategicSignal,Cluster,AFFECTS,REG,,NEGATIVE,HIGH,CL_G_C04_AL,GOV_REPORT,2026-01-14,2026-03-16,0.96,HIGH,
AFF_SIG_G_C05_FE_GEO,SIG_G_C05_FE_GEO,CL_G_C05_FE,StrategicSignal,Cluster,AFFECTS,GEO,,MIXED,HIGH,CL_G_C05_FE,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C05_FE_DEMAND,SIG_G_C05_FE_DEMAND,CL_G_C05_FE,StrategicSignal,Cluster,AFFECTS,DEMAND,,UNCERTAIN,MEDIUM,CL_G_C05_FE,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C05_FE_TECH,SIG_G_C05_FE_TECH,CL_G_C05_FE,StrategicSignal,Cluster,AFFECTS,TECH,,POSITIVE,MEDIUM,CL_G_C05_FE,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.65,MEDIUM,
AFF_SIG_G_C05_FE_REG,SIG_G_C05_FE_REG,CL_G_C05_FE,StrategicSignal,Cluster,AFFECTS,REG,,MIXED,HIGH,CL_G_C05_FE,GOV_REPORT,2026-01-14,2026-03-16,0.96,HIGH,
AFF_SIG_G_C06_PF_GEO,SIG_G_C06_PF_GEO,CL_G_C06_PF,StrategicSignal,Cluster,AFFECTS,GEO,,MIXED,HIGH,CL_G_C06_PF,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C06_PF_DEMAND,SIG_G_C06_PF_DEMAND,CL_G_C06_PF,StrategicSignal,Cluster,AFFECTS,DEMAND,,POSITIVE,MEDIUM,CL_G_C06_PF,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.65,MEDIUM,
AFF_SIG_G_C06_PF_TECH,SIG_G_C06_PF_TECH,CL_G_C06_PF,StrategicSignal,Cluster,AFFECTS,TECH,,UNCERTAIN,MEDIUM,CL_G_C06_PF,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C06_PF_REG,SIG_G_C06_PF_REG,CL_G_C06_PF,StrategicSignal,Cluster,AFFECTS,REG,,NEGATIVE,HIGH,CL_G_C06_PF,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.65,MEDIUM,
AFF_SIG_G_C07_TIZRHF_GEO,SIG_G_C07_TIZRHF_GEO,CL_G_C07_TIZRHF,StrategicSignal,Cluster,AFFECTS,GEO,,MIXED,HIGH,CL_G_C07_TIZRHF,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C07_TIZRHF_DEMAND,SIG_G_C07_TIZRHF_DEMAND,CL_G_C07_TIZRHF,StrategicSignal,Cluster,AFFECTS,DEMAND,,POSITIVE,MEDIUM,CL_G_C07_TIZRHF,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C07_TIZRHF_TECH,SIG_G_C07_TIZRHF_TECH,CL_G_C07_TIZRHF,StrategicSignal,Cluster,AFFECTS,TECH,,UNCERTAIN,MEDIUM,CL_G_C07_TIZRHF,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C07_TIZRHF_REG,SIG_G_C07_TIZRHF_REG,CL_G_C07_TIZRHF,StrategicSignal,Cluster,AFFECTS,REG,,POSITIVE,HIGH,CL_G_C07_TIZRHF,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C08_REFRACTORY_GEO,SIG_G_C08_REFRACTORY_GEO,CL_G_C08_REFRACTORY,StrategicSignal,Cluster,AFFECTS,GEO,,NEGATIVE,HIGH,CL_G_C08_REFRACTORY,GOV_REPORT,2025-03-19,2026-03-16,0.93,HIGH,
AFF_SIG_G_C08_REFRACTORY_DEMAND,SIG_G_C08_REFRACTORY_DEMAND,CL_G_C08_REFRACTORY,StrategicSignal,Cluster,AFFECTS,DEMAND,,POSITIVE,MEDIUM,CL_G_C08_REFRACTORY,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.65,MEDIUM,
AFF_SIG_G_C08_REFRACTORY_TECH,SIG_G_C08_REFRACTORY_TECH,CL_G_C08_REFRACTORY,StrategicSignal,Cluster,AFFECTS,TECH,,UNCERTAIN,MEDIUM,CL_G_C08_REFRACTORY,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C08_REFRACTORY_REG,SIG_G_C08_REFRACTORY_REG,CL_G_C08_REFRACTORY,StrategicSignal,Cluster,AFFECTS,REG,,MIXED,HIGH,CL_G_C08_REFRACTORY,GOV_REPORT,2024-05-23,2026-03-16,0.89,MEDIUM_HIGH,
AFF_SIG_G_C09_MGCA_GEO,SIG_G_C09_MGCA_GEO,CL_G_C09_MGCA,StrategicSignal,Cluster,AFFECTS,GEO,,MIXED,HIGH,CL_G_C09_MGCA,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C09_MGCA_DEMAND,SIG_G_C09_MGCA_DEMAND,CL_G_C09_MGCA,StrategicSignal,Cluster,AFFECTS,DEMAND,,POSITIVE,MEDIUM,CL_G_C09_MGCA,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C09_MGCA_TECH,SIG_G_C09_MGCA_TECH,CL_G_C09_MGCA,StrategicSignal,Cluster,AFFECTS,TECH,,UNCERTAIN,MEDIUM,CL_G_C09_MGCA,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C09_MGCA_REG,SIG_G_C09_MGCA_REG,CL_G_C09_MGCA,StrategicSignal,Cluster,AFFECTS,REG,,MIXED,HIGH,CL_G_C09_MGCA,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C10_AGAU_GEO,SIG_G_C10_AGAU_GEO,CL_G_C10_AGAU,StrategicSignal,Cluster,AFFECTS,GEO,,MIXED,HIGH,CL_G_C10_AGAU,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C10_AGAU_DEMAND,SIG_G_C10_AGAU_DEMAND,CL_G_C10_AGAU,StrategicSignal,Cluster,AFFECTS,DEMAND,,POSITIVE,MEDIUM,CL_G_C10_AGAU,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.65,MEDIUM,
AFF_SIG_G_C10_AGAU_TECH,SIG_G_C10_AGAU_TECH,CL_G_C10_AGAU,StrategicSignal,Cluster,AFFECTS,TECH,,UNCERTAIN,MEDIUM,CL_G_C10_AGAU,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C10_AGAU_REG,SIG_G_C10_AGAU_REG,CL_G_C10_AGAU,StrategicSignal,Cluster,AFFECTS,REG,,MIXED,HIGH,CL_G_C10_AGAU,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C11_PGM_GEO,SIG_G_C11_PGM_GEO,CL_G_C11_PGM,StrategicSignal,Cluster,AFFECTS,GEO,,MIXED,HIGH,CL_G_C11_PGM,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C11_PGM_DEMAND,SIG_G_C11_PGM_DEMAND,CL_G_C11_PGM,StrategicSignal,Cluster,AFFECTS,DEMAND,,UNCERTAIN,MEDIUM,CL_G_C11_PGM,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C11_PGM_TECH,SIG_G_C11_PGM_TECH,CL_G_C11_PGM,StrategicSignal,Cluster,AFFECTS,TECH,,UNCERTAIN,MEDIUM,CL_G_C11_PGM,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C11_PGM_REG,SIG_G_C11_PGM_REG,CL_G_C11_PGM,StrategicSignal,Cluster,AFFECTS,REG,,POSITIVE,HIGH,CL_G_C11_PGM,GOV_REPORT,2024-01-01,2026-03-16,0.84,MEDIUM_HIGH,
AFF_SIG_G_C12_ZNSNPB_GEO,SIG_G_C12_ZNSNPB_GEO,CL_G_C12_ZNSNPB,StrategicSignal,Cluster,AFFECTS,GEO,,MIXED,HIGH,CL_G_C12_ZNSNPB,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C12_ZNSNPB_DEMAND,SIG_G_C12_ZNSNPB_DEMAND,CL_G_C12_ZNSNPB,StrategicSignal,Cluster,AFFECTS,DEMAND,,POSITIVE,MEDIUM,CL_G_C12_ZNSNPB,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C12_ZNSNPB_TECH,SIG_G_C12_ZNSNPB_TECH,CL_G_C12_ZNSNPB,StrategicSignal,Cluster,AFFECTS,TECH,,UNCERTAIN,MEDIUM,CL_G_C12_ZNSNPB,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_G_C12_ZNSNPB_REG,SIG_G_C12_ZNSNPB_REG,CL_G_C12_ZNSNPB,StrategicSignal,Cluster,AFFECTS,REG,,MIXED,HIGH,CL_G_C12_ZNSNPB,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
