signal_id,source_origin,cluster_key,signal_type,signal_strength,signal_desc,source_ref_id,external_source_url,evidence_type,evidence_detail,evidence_date,last_reviewed,confidence_score,confidence_band,freshness_penalty,impact_direction,time_sensitivity_level,impacted_scope,label
SIG_O_H_1,ONTOLOGY,CL_O_H,DEMAND,S,欧盟绿氢战略目标：2030年国内产1000万t+进口1000万t；对绿钢认证体系建立,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,氢;电解槽;绿氢;钢铁/化工/重卡,StrategicSignal
SIG_O_H_2,ONTOLOGY,CL_O_H,TECH,S,PEM电解槽成本从2020年1400$/kW→2024年约600$/kW，曲线清晰,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.65,MEDIUM,0.0,UNCERTAIN,MEDIUM,氢;电解槽;绿氢;钢铁/化工/重卡,StrategicSignal
SIG_O_H_3,ONTOLOGY,CL_O_H,REG,S,CBAM对高碳钢铁碳税；美国IRA对绿氢生产税收抵免3$/kg,SRC_EXT_001|SRC_EXT_006,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en | https://www.energy.gov/articles/clean-hydrogen-production-tax-credit-45v-resources,MULTI_SOURCE,European Commission::European Commission CBAM official page ; U.S. Department of Energy::DOE Clean Hydrogen Production Tax Credit (45V) Resources,2026-01-14,2026-03-16,0.96,HIGH,0.0,POSITIVE,HIGH,氢;电解槽;绿氢;钢铁/化工/重卡,StrategicSignal
SIG_O_H_4,ONTOLOGY,CL_O_H,GEO,M,中东/北非/澳大利亚绿氢出口战略；中国氢能汽车政策补贴,SRC_EXT_006,https://www.energy.gov/articles/clean-hydrogen-production-tax-credit-45v-resources,GOV_REPORT,U.S. Department of Energy::DOE Clean Hydrogen Production Tax Credit (45V) Resources,2024-01-01,2026-03-16,0.84,MEDIUM_HIGH,0.1,POSITIVE,HIGH,氢;电解槽;绿氢;钢铁/化工/重卡,StrategicSignal
SIG_O_Ti_Zr_Hf_1,ONTOLOGY,CL_O_Ti_Zr_Hf,GEO,S,Hf来源高度集中（Framatome法国+Wah Chang美国），DoD已启动供应链审查,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,MIXED,HIGH,Ti/Zr/Hf;航空材料;核电包壳;先进制程介质,StrategicSignal
SIG_O_Ti_Zr_Hf_2,ONTOLOGY,CL_O_Ti_Zr_Hf,DEMAND,S,2nm以下节点对HfO₂用量增加（每层厚度增加）；Intel/台积电扩产驱动,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,POSITIVE,MEDIUM,Ti/Zr/Hf;航空材料;核电包壳;先进制程介质,StrategicSignal
SIG_O_Ti_Zr_Hf_3,ONTOLOGY,CL_O_Ti_Zr_Hf,TECH,M,铁电HfO₂（FeFET存储器）是新兴应用，进一步增加Hf需求,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,Ti/Zr/Hf;航空材料;核电包壳;先进制程介质,StrategicSignal
SIG_O_Ti_Zr_Hf_4,ONTOLOGY,CL_O_Ti_Zr_Hf,DEMAND,M,SMR（小型模块化反应堆）核复兴驱动Zr核级材料需求增长,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,POSITIVE,MEDIUM,Ti/Zr/Hf;航空材料;核电包壳;先进制程介质,StrategicSignal
SIG_O_Cr_Mo_W_V_Nb_Ta_1,ONTOLOGY,CL_O_Cr_Mo_W_V_Nb_Ta,GEO,S,美国将W/Mo/V列入关键矿物；中国W出口管制,SRC_EXT_010,https://www.energy.gov/cmm/what-are-critical-minerals-and-materials,GOV_REPORT,U.S. Department of Energy::DOE critical materials list page,2025-03-19,2026-03-16,0.93,HIGH,0.0,NEGATIVE,HIGH,W/Mo/V/Nb/Ta;硬质合金;液流电池;电子电容,StrategicSignal
SIG_O_Cr_Mo_W_V_Nb_Ta_2,ONTOLOGY,CL_O_Cr_Mo_W_V_Nb_Ta,DEMAND,S,V液流电池CAGR 50%+；Nb用于EV高强钢减重需求增长,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,POSITIVE,MEDIUM,W/Mo/V/Nb/Ta;硬质合金;液流电池;电子电容,StrategicSignal
SIG_O_Cr_Mo_W_V_Nb_Ta_3,ONTOLOGY,CL_O_Cr_Mo_W_V_Nb_Ta,DEMAND,M,Ta：5G/AI芯片推动MLCC+钽电容需求增长,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,POSITIVE,MEDIUM,W/Mo/V/Nb/Ta;硬质合金;液流电池;电子电容,StrategicSignal
SIG_O_Cr_Mo_W_V_Nb_Ta_4,ONTOLOGY,CL_O_Cr_Mo_W_V_Nb_Ta,REG,M,Dodd-Frank对刚果金Ta溯源要求，推动非DRC供应链建设,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,MIXED,HIGH,W/Mo/V/Nb/Ta;硬质合金;液流电池;电子电容,StrategicSignal
SIG_O_PGM_1,ONTOLOGY,CL_O_PGM,DEMAND,S,绿氢政策（EU/US/JP/CN）推动PEM电解槽需求：2030年可能需要500-1000t Ir/年（vs 当前7t产量）,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,Pt/Pd/Rh/Ir;电解槽;燃料电池;汽车催化,StrategicSignal
SIG_O_PGM_2,ONTOLOGY,CL_O_PGM,GEO,S,南非电力危机（阶段性停电）影响铂族矿山生产；南非政治风险,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,NEGATIVE,HIGH,Pt/Pd/Rh/Ir;电解槽;燃料电池;汽车催化,StrategicSignal
SIG_O_PGM_3,ONTOLOGY,CL_O_PGM,TECH,M,低Ir OER催化剂研发（Ir载量从2mg/cm²→0.2mg/cm²），扩展供应,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,Pt/Pd/Rh/Ir;电解槽;燃料电池;汽车催化,StrategicSignal
SIG_O_PGM_4,ONTOLOGY,CL_O_PGM,DEMAND,M,汽车电动化减少Pd/Rh需求（5-10年时间窗口），影响铂族矿山整体经济性,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,Pt/Pd/Rh/Ir;电解槽;燃料电池;汽车催化,StrategicSignal
SIG_O_Ag_Au_1,ONTOLOGY,CL_O_Ag_Au,DEMAND,S,光伏装机600+GW/年→Ag年需求3500+吨，但铜浆技术压制价格上限,SRC_EXT_010,https://www.energy.gov/cmm/what-are-critical-minerals-and-materials,GOV_REPORT,U.S. Department of Energy::DOE critical materials list page,2025-03-19,2026-03-16,0.93,HIGH,0.0,UNCERTAIN,MEDIUM,Ag/Au;光伏银浆;高可靠电子,StrategicSignal
SIG_O_Ag_Au_2,ONTOLOGY,CL_O_Ag_Au,TECH,S,铜浆TRL从5→7（2022-2024），2027年量产预期明确；Ag单耗从100mg/片→70mg趋势,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.65,MEDIUM,0.0,UNCERTAIN,MEDIUM,Ag/Au;光伏银浆;高可靠电子,StrategicSignal
SIG_O_Ag_Au_3,ONTOLOGY,CL_O_Ag_Au,DEMAND,M,AI数据中心和EVse对精密连接器Ag需求增长,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,POSITIVE,MEDIUM,Ag/Au;光伏银浆;高可靠电子,StrategicSignal
SIG_O_P_F_1,ONTOLOGY,CL_O_P_F,GEO,S,中国2024年将萤石纳入出口管制；直接影响全球HF/PVDF供应链,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.65,MEDIUM,0.0,NEGATIVE,HIGH,P/F;LFP/PVDF/HF;电池与含氟化工,StrategicSignal
SIG_O_P_F_2,ONTOLOGY,CL_O_P_F,REG,S,欧盟拟2026-2030年分阶段限制PFAS（超过10000种含F物质），影响PTFE密封/半导体气体,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.65,MEDIUM,0.0,NEGATIVE,HIGH,P/F;LFP/PVDF/HF;电池与含氟化工,StrategicSignal
SIG_O_P_F_3,ONTOLOGY,CL_O_P_F,DEMAND,S,LFP电池增长驱动LiPF₆和PVDF需求：每GWh需约50吨LiPF₆+约100吨PVDF,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,POSITIVE,MEDIUM,P/F;LFP/PVDF/HF;电池与含氟化工,StrategicSignal
SIG_O_P_F_4,ONTOLOGY,CL_O_P_F,TECH,M,水性粘结剂（CMC/SBR）替代PVDF TRL 6-7，预计2026-2028年在主流电芯量产,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.65,MEDIUM,0.0,UNCERTAIN,MEDIUM,P/F;LFP/PVDF/HF;电池与含氟化工,StrategicSignal
SIG_O_Zn_Sn_Pb_1,ONTOLOGY,CL_O_Zn_Sn_Pb,DEMAND,M,EV和电子制造增长推动Sn焊料需求CAGR 5%+；AI服务器PCB焊料用量大,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,POSITIVE,MEDIUM,Zn/Sn/Pb;镀锌;焊料;铅酸电池,StrategicSignal
SIG_O_Zn_Sn_Pb_2,ONTOLOGY,CL_O_Zn_Sn_Pb,GEO,M,缅甸Man Maw锡矿（全球最大单一矿山，10%全球产量）政治不稳定风险,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,NEGATIVE,HIGH,Zn/Sn/Pb;镀锌;焊料;铅酸电池,StrategicSignal
SIG_O_Zn_Sn_Pb_3,ONTOLOGY,CL_O_Zn_Sn_Pb,REG,S,中国和欧盟推进铅酸电池向锂电迁移政策；铅Pb长期需求面临结构性下行,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,NEGATIVE,HIGH,Zn/Sn/Pb;镀锌;焊料;铅酸电池,StrategicSignal
SIG_O_Zn_Sn_Pb_4,ONTOLOGY,CL_O_Zn_Sn_Pb,TECH,M,Pb替代：汽车起停系统48V化（锂电替代铅酸）正在快速推进,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,Zn/Sn/Pb;镀锌;焊料;铅酸电池,StrategicSignal
SIG_O_Mg_Ca_1,ONTOLOGY,CL_O_Mg_Ca,GEO,S,2021年中国能源危机导致Mg价格暴涨4倍，欧洲汽车业停产威胁——地缘风险已现实化,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,NEGATIVE,HIGH,Mg/Ca;镁合金;汽车轻量化,StrategicSignal
SIG_O_Mg_Ca_2,ONTOLOGY,CL_O_Mg_Ca,DEMAND,M,EV轻量化需求增长（续航焦虑→车身减重→Mg合金替代Al）,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,POSITIVE,MEDIUM,Mg/Ca;镁合金;汽车轻量化,StrategicSignal
SIG_O_Mg_Ca_3,ONTOLOGY,CL_O_Mg_Ca,REG,M,美国/欧洲正在建设本土Mg生产能力（战略意义显著）,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,MIXED,HIGH,Mg/Ca;镁合金;汽车轻量化,StrategicSignal
SIG_O_O_N_1,ONTOLOGY,CL_O_O_N,DEMAND,M,半导体扩产（台积电/英特尔/三星先进制程）带动超纯气体需求增长,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,POSITIVE,MEDIUM,氧/氮;工业气体;化工基础,StrategicSignal
SIG_O_O_N_2,ONTOLOGY,CL_O_O_N,DEMAND,M,GaN器件高速增长，但N₂供应无约束；需关注Ga而非N,SRC_EXT_008,https://www.nist.gov/chips/proposed-funding-sites,GOV_REPORT,U.S. Department of Commerce / NIST::NIST CHIPS proposed funding sites for GaN/GaAs,2024-06-25,2026-03-16,0.9,HIGH,0.05,POSITIVE,MEDIUM,氧/氮;工业气体;化工基础,StrategicSignal
SIG_G_C01_H_GEO,GRAPH,CL_G_C01_H,GEO,,△中等：中东/澳大利亚/智利绿氢出口竞争；欧洲进口依赖政策,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,NEGATIVE,HIGH,CL_G_C01_H,StrategicSignal
SIG_G_C01_H_DEMAND,GRAPH,CL_G_C01_H,DEMAND,,✓强：钢铁脱碳（DRI-H₂）+化肥绿氨转型+重卡氢燃料电池,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,CL_G_C01_H,StrategicSignal
SIG_G_C01_H_TECH,GRAPH,CL_G_C01_H,TECH,,✓强：PEM电解槽成本从2020年1000美元/kW→2024年500美元/kW，趋势清晰,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.65,MEDIUM,0.0,UNCERTAIN,MEDIUM,CL_G_C01_H,StrategicSignal
SIG_G_C01_H_REG,GRAPH,CL_G_C01_H,REG,,✓强：EU CBAM碳税 + 美国IRA清洁氢补贴（3美元/kg抵税额）,SRC_EXT_001|SRC_EXT_006,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en | https://www.energy.gov/articles/clean-hydrogen-production-tax-credit-45v-resources,MULTI_SOURCE,European Commission::European Commission CBAM official page ; U.S. Department of Energy::DOE Clean Hydrogen Production Tax Credit (45V) Resources,2026-01-14,2026-03-16,0.96,HIGH,0.0,POSITIVE,HIGH,CL_G_C01_H,StrategicSignal
SIG_G_C02_C_GEO,GRAPH,CL_G_C02_C,GEO,,△中等：中国控制天然石墨产量60%+，已对石墨出口实施管制（2023年）,SRC_EXT_003,https://exportcontrol.mofcom.gov.cn/article/zcfg/gnzcfg/zcfggzqd/202310/912.html,GOV_REPORT,Ministry of Commerce of the PRC::MOFCOM graphite export control announcement,2023-10-20,2026-03-16,0.86,MEDIUM_HIGH,0.1,MIXED,HIGH,CL_G_C02_C,StrategicSignal
SIG_G_C02_C_DEMAND,GRAPH,CL_G_C02_C,DEMAND,,✓中：Si负极渗透率提升（5%→20%+）会降低石墨单位用量但总量增长；碳纤维需求增长10%/年,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,POSITIVE,MEDIUM,CL_G_C02_C,StrategicSignal
SIG_G_C02_C_TECH,GRAPH,CL_G_C02_C,TECH,,✓中：Si@C复合负极TRL达到8，正在大规模量产导入中,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,CL_G_C02_C,StrategicSignal
SIG_G_C02_C_REG,GRAPH,CL_G_C02_C,REG,,✓中：中国天然石墨列入出口管制清单（2023.12）,SRC_EXT_003,https://exportcontrol.mofcom.gov.cn/article/zcfg/gnzcfg/zcfggzqd/202310/912.html,GOV_REPORT,Ministry of Commerce of the PRC::MOFCOM graphite export control announcement,2023-10-20,2026-03-16,0.86,MEDIUM_HIGH,0.1,NEGATIVE,HIGH,CL_G_C02_C,StrategicSignal
SIG_G_C03_NO_GEO,GRAPH,CL_G_C03_NO,GEO,,✓存在：GaN外延设备（MOCVD）被Aixtron/Veeco垄断；中国依赖进口,SRC_EXT_008,https://www.nist.gov/chips/proposed-funding-sites,GOV_REPORT,U.S. Department of Commerce / NIST::NIST CHIPS proposed funding sites for GaN/GaAs,2024-06-25,2026-03-16,0.9,HIGH,0.05,NEGATIVE,HIGH,CL_G_C03_NO,StrategicSignal
SIG_G_C03_NO_DEMAND,GRAPH,CL_G_C03_NO,DEMAND,,✓强：GaN快充市场2022-2027年CAGR~30%；5G基站全球部署峰值,SRC_EXT_008,https://www.nist.gov/chips/proposed-funding-sites,GOV_REPORT,U.S. Department of Commerce / NIST::NIST CHIPS proposed funding sites for GaN/GaAs,2024-06-25,2026-03-16,0.9,HIGH,0.05,UNCERTAIN,MEDIUM,CL_G_C03_NO,StrategicSignal
SIG_G_C03_NO_TECH,GRAPH,CL_G_C03_NO,TECH,,✓中：GaN on Si替代GaN on SiC在消费市场已基本完成（降成本）,SRC_EXT_008,https://www.nist.gov/chips/proposed-funding-sites,GOV_REPORT,U.S. Department of Commerce / NIST::NIST CHIPS proposed funding sites for GaN/GaAs,2024-06-25,2026-03-16,0.9,HIGH,0.05,UNCERTAIN,MEDIUM,CL_G_C03_NO,StrategicSignal
SIG_G_C03_NO_REG,GRAPH,CL_G_C03_NO,REG,,△：ITAR对GaN军用器件出口管制,SRC_EXT_002|SRC_EXT_008,https://www.mofcom.gov.cn/zcfb/dwmygl/art/2023/art_52b9a321087f402bb3d310d18b07967e.html | https://www.nist.gov/chips/proposed-funding-sites,MULTI_SOURCE,Ministry of Commerce of the PRC::MOFCOM announcement on gallium and germanium export controls ; U.S. Department of Commerce / NIST::NIST CHIPS proposed funding sites for GaN/GaAs,2024-06-25,2026-03-16,0.92,HIGH,0.05,NEGATIVE,HIGH,CL_G_C03_NO,StrategicSignal
SIG_G_C04_AL_GEO,GRAPH,CL_G_C04_AL,GEO,,"△弱：中国铝产能占全球60%+，已受""双碳""政策限制扩产；几内亚铝土矿政治风险",SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,MIXED,HIGH,CL_G_C04_AL,StrategicSignal
SIG_G_C04_AL_DEMAND,GRAPH,CL_G_C04_AL,DEMAND,,✓强：光伏边框（年增100万吨+）；EV轻量化（每辆增量铝约100-150kg）,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,CL_G_C04_AL,StrategicSignal
SIG_G_C04_AL_TECH,GRAPH,CL_G_C04_AL,TECH,,△：绿铝（水电/光伏制铝）溢价扩大；惰性电极铝电解（无碳阳极）TRL6-7,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,CL_G_C04_AL,StrategicSignal
SIG_G_C04_AL_REG,GRAPH,CL_G_C04_AL,REG,,✓中：欧盟CBAM对碳密集铝材加税；国内电解铝能效标准提升,SRC_EXT_001,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en,GOV_REPORT,European Commission::European Commission CBAM official page,2026-01-14,2026-03-16,0.96,HIGH,0.0,NEGATIVE,HIGH,CL_G_C04_AL,StrategicSignal
SIG_G_C05_FE_GEO,GRAPH,CL_G_C05_FE,GEO,,△弱：俄乌战争影响原料煤供应；澳大利亚/巴西铁矿石集中但无战略管制,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,MIXED,HIGH,CL_G_C05_FE,StrategicSignal
SIG_G_C05_FE_DEMAND,GRAPH,CL_G_C05_FE,DEMAND,,✓中：绿色建钢需求（Scope 3减排要求推动）；LFP需求爆发推动电池级FeSO₄,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,CL_G_C05_FE,StrategicSignal
SIG_G_C05_FE_TECH,GRAPH,CL_G_C05_FE,TECH,,✓中：HYBRIT（H₂ Green Steel）示范工厂2023年投产；TRL从6→7,SRC_002,,INTERNAL_STRUCTURED_SOURCE,Internal GRAPH knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.65,MEDIUM,0.0,POSITIVE,MEDIUM,CL_G_C05_FE,StrategicSignal
SIG_G_C05_FE_REG,GRAPH,CL_G_C05_FE,REG,,✓强：EU CBAM碳边境税（2026年全面征收）使高碳钢竞争劣势显著化,SRC_EXT_001,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en,GOV_REPORT,European Commission::European Commission CBAM official page,2026-01-14,2026-03-16,0.96,HIGH,0.0,MIXED,HIGH,CL_G_C05_FE,StrategicSignal
