rel_id,start_id,end_id,start_label,end_label,relationship_type,alt_material,perf_loss_pct,cost_factor,feasibility,note,source_ref_id,evidence_type,external_source_url,evidence_date,last_reviewed,confidence_score,confidence_band
FSM_Ta_FP_01,Ta_FP_01,ALT_MAT_0023,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Nb电容（NbO₂作为活性电极）,20,0.6,NOW,,Ta_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_PGM_FP_01,PGM_FP_01,ALT_MAT_0024,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Pd替代部分Pt（已发生）；基金属（Mn/Cu）无法达标,0,,PARTIAL,,PGM_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_PGM_FP_02,PGM_FP_02,ALT_MAT_0025,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Pt合金（PtCo/PtNi）减少Pt用量50-70%,0,0.5,NEAR,,PGM_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_PGM_FP_03,PGM_FP_03,ALT_MAT_0026,FunctionPosition,AltMaterialOption,SUB_MATERIAL,RuO₂/TiO₂混合（降Ir）,5,0.5,NEAR,,PGM_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Ag_FP_01,Ag_FP_01,ALT_MAT_0027,FunctionPosition,AltMaterialOption,SUB_MATERIAL,铜浆（Cu paste）,5,0.1,NEAR,TRL 6-7，2027年前量产；铜浆需在非氧化气氛烧结,Ag_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Ag_FP_02,Ag_FP_02,ALT_MAT_0028,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Au（高可靠性）/ Cu-Be（弹性触点）,5,3.0,SPECIAL,,Ag_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Au_FP_01,Au_FP_01,ALT_MAT_0029,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Cu键合线（已大量替代主流封装）,0,0.1,NOW,,Au_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Au_FP_02,Au_FP_02,ALT_MAT_0030,FunctionPosition,AltMaterialOption,SUB_MATERIAL,BTC（数字黄金叙事）,0,,NOW,价值储存功能有竞争，但物理特性无法替代,Au_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_P_FP_01,P_FP_01,ALT_MAT_0031,FunctionPosition,AltMaterialOption,SUB_MATERIAL,LiFSI（氟磺酰亚胺锂），性能更优,-15,3.0,NEAR,,P_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_P_FP_02,P_FP_02,ALT_MAT_0032,FunctionPosition,AltMaterialOption,SUB_MATERIAL,无（生物学意义上不可替代）,999,,INFEASIBLE,,P_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_F_FP_01,F_FP_01,ALT_MAT_0033,FunctionPosition,AltMaterialOption,SUB_MATERIAL,干法（等离子刻蚀）替代湿法HF（部分）,5,,NOW,,F_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_F_FP_02,F_FP_02,ALT_MAT_0034,FunctionPosition,AltMaterialOption,SUB_MATERIAL,PVDF→水性粘结剂（电池）,5,0.4,NEAR,TRL 6-7，减少PVDF用量,F_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Zn_FP_01,Zn_FP_01,ALT_MAT_0035,FunctionPosition,AltMaterialOption,SUB_MATERIAL,有机涂层（环氧/聚氨酯）,20,0.5,NOW,,Zn_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Sn_FP_01,Sn_FP_01,ALT_MAT_0036,FunctionPosition,AltMaterialOption,SUB_MATERIAL,低温焊料（Bi-Sn，138°C）,20,0.8,NOW,柔性电子/低温器件应用,Sn_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Pb_FP_01,Pb_FP_01,ALT_MAT_0037,FunctionPosition,AltMaterialOption,SUB_MATERIAL,LiFePO4（48V轻混/起停系统）,-100,3.0,NEAR,,Pb_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Mg_FP_01,Mg_FP_01,ALT_MAT_0038,FunctionPosition,AltMaterialOption,SUB_MATERIAL,铝合金（更成熟）,0,0.8,NOW,Al密度比Mg高55%但工艺更成熟,Mg_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Ca_FP_01,Ca_FP_01,ALT_MAT_0039,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Mg喷吹（铁水脱硫）,0,1.2,NOW,,Ca_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_O_FP_01,O_FP_01,ALT_MAT_0040,FunctionPosition,AltMaterialOption,SUB_MATERIAL,HfO₂（高k，5nm以下必须替代SiO₂）,0,5.0,MUST,SiO₂在5nm以下物理边界已突破,O_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_N_FP_01,N_FP_01,ALT_MAT_0041,FunctionPosition,AltMaterialOption,SUB_MATERIAL,SiC（部分功率场景）,0,0.8,NOW,,N_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_V23_001,S_Cl_FP_01,ALT_MAT_0042,FunctionPosition,AltMaterialOption,SUB_MATERIAL,NONE_GENERAL_SUBSTITUTE,,,INFEASIBLE,H2SO4 的酸性+氧化性组合暂无通用替代,FN_SCLS_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_002,S_Cl_FP_02,ALT_MAT_0042,FunctionPosition,AltMaterialOption,SUB_MATERIAL,NONE_GENERAL_SUBSTITUTE,,,INFEASIBLE,绕开 Cl2 需重构下游化学链，而非简单材料替换,FN_SCLS_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_003,REE_FP_01,ALT_MAT_0043,FunctionPosition,AltMaterialOption,SUB_MATERIAL,SmCo,-20,,NOW,更耐高温但成本约为 NdFeB 的 2-3 倍,FN_REE_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_004,REE_FP_01,ALT_MAT_0044,FunctionPosition,AltMaterialOption,SUB_MATERIAL,FeN,-10,,LONG,无稀土 FeN 路线，TRL3-4,FN_REE_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_005,REE_FP_02,ALT_MAT_0045,FunctionPosition,AltMaterialOption,SUB_MATERIAL,高矫顽力NdFeB配方,-5,,NOW,通过配方优化减少 Dy/Tb 依赖,FN_REE_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_006,REE_FP_03,ALT_MAT_0046,FunctionPosition,AltMaterialOption,SUB_MATERIAL,非稀土催化剂,-15,,NEAR,Ce 催化可被部分非稀土体系替代,FN_REE_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_007,Ga_Ge_In_FP_02,ALT_MAT_0047,FunctionPosition,AltMaterialOption,SUB_MATERIAL,ZnS,-20,,NOW,红外窗口材料，成本低但热强度差,FN_GAGEIN_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_008,Ga_Ge_In_FP_02,ALT_MAT_0048,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Si,-30,,NOW,适用于 <6μm 范围,FN_GAGEIN_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_009,Ga_Ge_In_FP_03,ALT_MAT_0049,FunctionPosition,AltMaterialOption,SUB_MATERIAL,AZO,-10,,NOW,氧化锌铝，成本低但柔性差,FN_GAGEIN_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_010,Ga_Ge_In_FP_03,ALT_MAT_0050,FunctionPosition,AltMaterialOption,SUB_MATERIAL,纳米银线,-5,,NEAR,柔性显示友好,FN_GAGEIN_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_011,Ga_Ge_In_FP_03,ALT_MAT_0051,FunctionPosition,AltMaterialOption,SUB_MATERIAL,石墨烯,-10,,LONG,TRL4-5,FN_GAGEIN_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_012,Li_Na_FP_01,ALT_MAT_0052,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Na+,-30,,NOW,能量密度约为 Li+ 场景的 70%,FN_LINA_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_013,Li_Na_FP_01,ALT_MAT_0053,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Mg2+,,,LONG,双价离子动力学慢,FN_LINA_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_014,Cu_FP_01,ALT_MAT_0054,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Al,-10,,NOW,输电场景可替代，但 PCB/电机绕组不等效,FN_CU_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_015,Cu_FP_01,ALT_MAT_0055,FunctionPosition,AltMaterialOption,SUB_MATERIAL,CNT,,,LONG,研究阶段,FN_CU_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_016,Cu_FP_02,ALT_MAT_0056,FunctionPosition,AltMaterialOption,SUB_MATERIAL,复合铜箔,-2,,NEAR,PET/Cu/PET 更薄但工艺复杂,FN_CU_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_017,Cu_FP_02,ALT_MAT_0054,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Al,,,INFEASIBLE,负极集流体功能位不能直接用 Al 替代,FN_CU_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_018,Cu_FP_03,ALT_MAT_0057,FunctionPosition,AltMaterialOption,SUB_MATERIAL,铝,-10,,NOW,低密度，热导率略低,FN_CU_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_019,Cu_FP_03,ALT_MAT_0058,FunctionPosition,AltMaterialOption,SUB_MATERIAL,金刚石铜复合,-2,,NEAR,特殊高功率场景,FN_CU_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_020,Ni_Co_Mn_FP_01,ALT_MAT_0059,FunctionPosition,AltMaterialOption,SUB_MATERIAL,LFP,-20,,NOW,安全性优先场景可替代高镍三元,FN_NICOMN_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_021,Ni_Co_Mn_FP_01,ALT_MAT_0060,FunctionPosition,AltMaterialOption,SUB_MATERIAL,LMFP,-10,,NEAR,能量密度居中,FN_NICOMN_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_022,Ni_Co_Mn_FP_03,ALT_MAT_0059,FunctionPosition,AltMaterialOption,SUB_MATERIAL,LFP,-15,,NOW,成熟低成本路线,FN_NICOMN_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_023,Ni_Co_Mn_FP_03,ALT_MAT_0061,FunctionPosition,AltMaterialOption,SUB_MATERIAL,NMC,+10,,NOW,高能量密度但成本更高,FN_NICOMN_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_024,Si_FP_01,ALT_MAT_0062,FunctionPosition,AltMaterialOption,SUB_MATERIAL,GaAs,-20,,NOW,更适合 GHz 高频电路,FN_SI_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_025,Si_FP_01,ALT_MAT_0063,FunctionPosition,AltMaterialOption,SUB_MATERIAL,InP,-20,,NEAR,太赫兹方向,FN_SI_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_026,Si_FP_01,ALT_MAT_0064,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Ge,-10,,NEAR,高迁移率材料,FN_SI_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_027,Si_FP_02,ALT_MAT_0065,FunctionPosition,AltMaterialOption,SUB_MATERIAL,CdTe,-10,,NOW,低成本薄膜路线,FN_SI_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_028,Si_FP_03,ALT_MAT_0066,FunctionPosition,AltMaterialOption,SUB_MATERIAL,纯石墨,-20,,NOW,循环表现好但容量低,FN_SI_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSM_V23_029,Si_FP_03,ALT_MAT_0067,FunctionPosition,AltMaterialOption,SUB_MATERIAL,锡基,-10,,NEAR,容量更高但更贵,FN_SI_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
