rel_id,start_id,end_id,start_label,end_label,relationship_type,role,note
RCE_G_C11_PGM_Pd,EL_PD,CL_G_C11_PGM,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C11_PGM_Rh,EL_RH,CL_G_C11_PGM,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C11_PGM_Ru,EL_RU,CL_G_C11_PGM,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C11_PGM_Ir,EL_IR,CL_G_C11_PGM,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C12_ZNSNPB_Zn,EL_ZN,CL_G_C12_ZNSNPB,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C12_ZNSNPB_Sn,EL_SN,CL_G_C12_ZNSNPB,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C12_ZNSNPB_Pb,EL_PB,CL_G_C12_ZNSNPB,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C13_SCLS_S,EL_S,CL_G_C13_SCLS,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C13_SCLS_Cl,EL_CL,CL_G_C13_SCLS,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C14_UTHF_U,EL_U,CL_G_C14_UTHF,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C14_UTHF_Th,EL_TH,CL_G_C14_UTHF,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C15_REE_Nd,EL_ND,CL_G_C15_REE,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C15_REE_Pr,EL_PR,CL_G_C15_REE,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C15_REE_Dy,EL_DY,CL_G_C15_REE,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C15_REE_Tb,EL_TB,CL_G_C15_REE,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C15_REE_La,EL_LA,CL_G_C15_REE,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C15_REE_Ce,EL_CE,CL_G_C15_REE,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C16_GAGEIN_Ga,EL_GA,CL_G_C16_GAGEIN,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C16_GAGEIN_Ge,EL_GE,CL_G_C16_GAGEIN,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C16_GAGEIN_In,EL_IN,CL_G_C16_GAGEIN,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C17_LINA_Li,EL_LI,CL_G_C17_LINA,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C17_LINA_Na,EL_NA,CL_G_C17_LINA,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C18_CU_Cu,EL_CU,CL_G_C18_CU,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C19_NICOMN_Ni,EL_NI,CL_G_C19_NICOMN,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C19_NICOMN_Co,EL_CO,CL_G_C19_NICOMN,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C19_NICOMN_Mn,EL_MN,CL_G_C19_NICOMN,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_G_C20_SI_Si,EL_SI,CL_G_C20_SI,Element,Cluster,BELONGS_TO,primary,来源：gen_fn_map*.js
RCE_O2_S_Cl_S,EL_S,CL_O_S_Cl,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_S_Cl_Cl,EL_CL,CL_O_S_Cl,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_U_Th_U,EL_U,CL_O_U_Th,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_U_Th_Th,EL_TH,CL_O_U_Th,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_REE_Nd,EL_ND,CL_O_REE,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_REE_Pr,EL_PR,CL_O_REE,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_REE_Dy,EL_DY,CL_O_REE,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_REE_Tb,EL_TB,CL_O_REE,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_REE_La,EL_LA,CL_O_REE,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_REE_Ce,EL_CE,CL_O_REE,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_Ga_Ge_In_Ga,EL_GA,CL_O_Ga_Ge_In,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_Ga_Ge_In_Ge,EL_GE,CL_O_Ga_Ge_In,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_Ga_Ge_In_In,EL_IN,CL_O_Ga_Ge_In,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_Li_Na_Li,EL_LI,CL_O_Li_Na,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_Li_Na_Na,EL_NA,CL_O_Li_Na,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_Cu_Cu,EL_CU,CL_O_Cu,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_Ni_Co_Mn_Ni,EL_NI,CL_O_Ni_Co_Mn,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_Ni_Co_Mn_Co,EL_CO,CL_O_Ni_Co_Mn,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_Ni_Co_Mn_Mn,EL_MN,CL_O_Ni_Co_Mn,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
RCE_O2_Si_Si,EL_SI,CL_O_Si,Element,Cluster,BELONGS_TO,primary,V2.2 补簇：由 graph family 回填 ontology 层
