rel_id,start_id,end_id,start_label,end_label,relationship_type,alt_route,trl,years_to_scale,note,source_ref_id,evidence_type,external_source_url,evidence_date,last_reviewed,confidence_score,confidence_band
FSR_Au_FP_01,Au_FP_01,ALT_ROUTE_0030,FunctionPosition,AltRouteOption,SUB_ROUTE,FC（倒装芯片，无键合线）,9,0.0,先进封装全面转FC/HBM,Au_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Au_FP_02,Au_FP_02,ALT_ROUTE_0031,FunctionPosition,AltRouteOption,SUB_ROUTE,N/A,999,,,Au_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_P_FP_01,P_FP_01,ALT_ROUTE_0032,FunctionPosition,AltRouteOption,SUB_ROUTE,固态电解质（无液态电解液）,5,7.0,,P_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_P_FP_02,P_FP_02,ALT_ROUTE_0033,FunctionPosition,AltRouteOption,SUB_ROUTE,磷回收（污水/有机废弃物）,6,10.0,,P_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_F_FP_01,F_FP_01,ALT_ROUTE_0034,FunctionPosition,AltRouteOption,SUB_ROUTE,原子层刻蚀（ALE，精度更高）,8,3.0,,F_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_F_FP_02,F_FP_02,ALT_ROUTE_0035,FunctionPosition,AltRouteOption,SUB_ROUTE,无机密封材料（特定工况）,8,2.0,,F_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Zn_FP_01,Zn_FP_01,ALT_ROUTE_0036,FunctionPosition,AltRouteOption,SUB_ROUTE,不锈钢（无需防腐涂层）,9,0.0,成本高5-10倍,Zn_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Sn_FP_01,Sn_FP_01,ALT_ROUTE_0037,FunctionPosition,AltRouteOption,SUB_ROUTE,导电胶（ACF/ICA）,8,0.0,细间距封装场景替代,Sn_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Pb_FP_01,Pb_FP_01,ALT_ROUTE_0038,FunctionPosition,AltRouteOption,SUB_ROUTE,超级电容+小锂电（微混合动力）,8,2.0,,Pb_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Mg_FP_01,Mg_FP_01,ALT_ROUTE_0039,FunctionPosition,AltRouteOption,SUB_ROUTE,CFRP（比强度更高）,9,0.0,成本高10倍,Mg_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Ca_FP_01,Ca_FP_01,ALT_ROUTE_0040,FunctionPosition,AltRouteOption,SUB_ROUTE,真空脱气（VOD）,9,0.0,,Ca_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_O_FP_01,O_FP_01,ALT_ROUTE_0041,FunctionPosition,AltRouteOption,SUB_ROUTE,N/A（SiO₂仍在中大尺寸芯片使用）,9,,,O_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_N_FP_01,N_FP_01,ALT_ROUTE_0042,FunctionPosition,AltRouteOption,SUB_ROUTE,Si基HEMT（SiGe，低频）,8,0.0,,N_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_V23_001,S_Cl_FP_03,ALT_ROUTE_0043,FunctionPosition,AltRouteOption,SUB_ROUTE,固态Li-S,4,6.0,通过固态路线改善穿梭效应,FN_SCLS_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSR_V23_002,U_Th_FP_01,ALT_ROUTE_0044,FunctionPosition,AltRouteOption,SUB_ROUTE,Th-232→U-233循环,4,10.0,长期替代 / 补充路线,FN_UTH_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSR_V23_003,U_Th_FP_03,ALT_ROUTE_0045,FunctionPosition,AltRouteOption,SUB_ROUTE,铀燃料循环,9,0.0,成熟商业路线,FN_UTH_03,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSR_V23_004,REE_FP_02,ALT_ROUTE_0046,FunctionPosition,AltRouteOption,SUB_ROUTE,晶界扩散技术,8,2.0,减少 Dy 用量 15-25%，工艺 know-how 密集,FN_REE_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSR_V23_005,Ga_Ge_In_FP_01,ALT_ROUTE_0047,FunctionPosition,AltRouteOption,SUB_ROUTE,SiC,9,0.0,高压场景竞争路线,FN_GAGEIN_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSR_V23_006,Ga_Ge_In_FP_01,ALT_ROUTE_0048,FunctionPosition,AltRouteOption,SUB_ROUTE,GaN on Si,9,0.0,成本降低路线，消费市场已主流,FN_GAGEIN_01,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSR_V23_007,Li_Na_FP_02,ALT_ROUTE_0049,FunctionPosition,AltRouteOption,SUB_ROUTE,液态电解液,9,0.0,成熟路线,FN_LINA_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSR_V23_008,Li_Na_FP_02,ALT_ROUTE_0050,FunctionPosition,AltRouteOption,SUB_ROUTE,聚合物固态,6,5.0,导电率较低,FN_LINA_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSR_V23_009,Li_Na_FP_02,ALT_ROUTE_0051,FunctionPosition,AltRouteOption,SUB_ROUTE,氧化物固态,6,5.0,脆性大但安全性高,FN_LINA_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSR_V23_010,Ni_Co_Mn_FP_02,ALT_ROUTE_0052,FunctionPosition,AltRouteOption,SUB_ROUTE,SiC/SiC CMC,8,5.0,航发热端件替代路线,FN_NICOMN_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
FSR_V23_011,Si_FP_02,ALT_ROUTE_0053,FunctionPosition,AltRouteOption,SUB_ROUTE,钙钛矿-Si叠层,7,3.0,理论效率更高,FN_SI_02,INTERNAL_NARRATIVE_TO_TYPED,,2026-03-16,2026-03-16,,
